review,sentiment
The movie was amazing with great acting and emotional scenes,positive
I really loved the story and the performances were outstanding,positive
This film was entertaining from beginning to end,positive
Excellent direction and wonderful music made this movie special,positive
One of the best movies I have watched recently,positive
The movie was boring and too slow,negative
Worst movie experience ever,negative
The story was weak and acting was horrible,negative
Very disappointing movie with no proper plot,negative
I regret watching this film,negative
Fantastic visuals and great screenplay,positive
The characters were well developed and engaging,positive
Amazing movie with strong emotional impact,positive
Poor editing destroyed the whole experience,negative
The film lacked logic and was confusing,negative
Loved the cinematography and background music,positive
This movie is a masterpiece,positive
Terrible movie with bad acting and direction,negative
Not worth spending time on this movie,negative
The story was inspiring and beautifully presented,positive
